OK,好的,OK,ButtonOK,好的
"    In the early 2040s, stringent restrictions were put on military cyberware companies all over the world forcing corporations like AltaTek to either buy off every greedy official or relocate. Opting for the cheaper option, AltaTek chose to build a number of secret production facilities in different parts of the world. The flagship of these complexes was Acropolis, hidden in the Mongolian part of the Altai Mountains. Immediately after the construction, Taras Volkov was appointed as its director.",    20世纪40年代初，全球军用机械改造公司都受到了严格的限制，这让像阿尔泰科技这样的企业不得不去贿赂贪官或进行搬迁。为了降低成本，阿尔泰科技选择在世界各地建立秘密生产设施。其中最重要的建筑就是藏于阿尔泰山脉蒙古部分的卫城研究所。就在研究所建成后不久，塔拉斯·沃尔科夫就被任命为董事。,LocalizationKeyCodexChapterInfosAkropolis1,CodexMenu," 在二十世纪四十年代初期，开发军用生化武器的公司在全球范围内都受到了严格的限制，阿尔泰科技这样的企业不得不通过贿赂贪婪的权力机构和并购生存下来。相较此类""廉价""的选择而言，阿尔泰则选择了在世界各地制造无数秘密工业设施。这些建筑群中的标志项目就是潜伏于阿尔泰伊山脉蒙古部分的雅典卫城研究所了。就在完建之后，塔拉斯立马被任命为其开发主任。"
"    Acropolis' main priority was Project Stratos, whose objective was twofold: to create soldiers augmented beyond any limit previously thought possible; and to manufacture small armies of these troops to sell around the world. To achieve this, Acropolis scientists from Section Tau - the main experimental laboratory of the complex - developed several chemical compounds to cause mutations in the subjects' bodies to prepare them for the heavy hardware. After many failed experiments with these compounds it was determined that animals and humans who don’t eat modern synthetic food have a lesser rate of rejection. General Volkov reassigned his security forces to kidnap people from rural areas. Small villages, indigenous tribes and monasteries in poor countries were the priority targets.",    卫城研究所的主要任务就是斯特拉托斯计划，该计划有两个目标：创造出突破之前被认为是极限的战士；大量生产由这种士兵组成的小型军队并把他们销往世界各地。为了完成这一目标，来自T部门，即设施主实验室的科学家研发了数种化合物来引发实验体的身体异变，为后续的重型机械安装做准备。在经过多次失败后，科学家确定了不食用现代合成食物的动物和人对化合物产生排异反应的可能性较低。于是沃尔科夫将军重新编制了他的安保军去绑架乡村里的人。小村子，原始部落和寺院成为了他们的首要目标。,LocalizationKeyCodexChapterInfosAkropolis2,CodexMenu,雅典卫城的优先项目是斯特拉托斯计划，这个计划有俩个目标：创造出能突破任何能想象到的人类极限的士兵；批量生产由这种士兵组成的小型军团并销往世界各地。为了达成这一目地，来自代号T部门——设施中的主力实验室——的科学家们，开发了几种化合物用以引发受试者体内突变，为重装义肢的装载做好准备。经过数次失败，这类化合物被确认在不食用现代合成食品的动物和人类身上有较低的排异反应。沃尔科夫将军重新整编了他的安全部队开始绑架未开化地区的无辜民众。贫穷国家的小镇，原始部落，修道院成为了他们的首要目标。
"    Altaiskie Tekhonologii (Altai Technologies) or AltaTek was created in Barnaul, Russia in 2019 after the merger of several smaller companies by a wealthy oligarch. At first AltaTek mostly specialised in industrial chemicals, prosthetics and military equipment including personal armours and chemical stimulators. Eight years later this conglomerate held more patents than all of the Russian private and government companies working in these fields combined. And in 2031 following the rise of implant technologies, AltaTek along with another rival Korean corporation became the first two private companies in the world to mass-produce combat implants.",    阿尔泰科技（Altaiskie Tekhonologii）是由一位富裕寡头在合并几家小公司后于2019年在俄罗斯巴尔瑙尔创立的公司。起初，阿尔泰科技主要从事于工业化学，义肢制作以及包括民用防具与化学刺激器在内的军用装备。八年后，这家大公司拥有的专利比所有从事相关领域的俄罗斯公私企加起来还要多。在2031年，随着植入技术的崛起，阿尔泰科技与另一家作为对手的韩国公司成为了世界上大规模生产战斗植装最早的两家私企。,LocalizationKeyCodexChapterInfosAltatek1,CodexMenu,Altaiskie Tekhonologii（阿尔泰科技）也被称作阿尔泰，于2019年由一位富裕的寡头在并购数家小型公司后在俄罗斯的巴尔瑙尔创建。起初，阿尔泰主要专注于工业化学产品，义肢和军事装备，包括民用护甲和化学激素。八年后，这家企业集团所持有的专利已经超过所有在相关领域工作的俄罗斯私营和国营企业。随着植入技术的发展，2031年阿尔泰与竞争对手、另一家韩国公司成为世界上第一批大规模生产战斗植装的私企。
"    But this overnight success wasn’t only thanks to brilliant scientists and good marketing. AltaTek also knew how to bend rules the right way and find loopholes, and when that failed they had no problem resorting to illegal means. They created their own spec-op unit called Irbis (“snow leopard”), tasked with sabotaging AltaTek’s competitors, distributing the merchandise to war hungry dictators and killing those that stood in the way. As a result, AltaTek emerged as one of the top players in the world in the market of both military and civil cyberware.",    但这种爆发式的成功并不只是因为有杰出的科学家和良好的市场。还因为阿尔泰科技知道如何利用正确的方式绕过规则和寻找漏洞，而且他们在事情失败时会毫不犹豫地寻求非法手段。他们创建了名为雪豹（Irbis）的特殊部门，专门用来负责妨碍阿尔泰科技的竞争者，将商品发给那些渴望战争的独裁者，以及杀害那些阻碍他们的人。因此，阿尔泰科技成为了世界军用和民用机械改造市场的头号玩家之一。,LocalizationKeyCodexChapterInfosAltatek2,CodexMenu,"""但是，这一飞速的成功不仅得益于杰出的科学家和良好的营销方式。阿尔泰科技也知道如何以“适当”的方式扭曲规则寻找漏洞，这样一旦失败也可以逃脱违法的追责。他们创建了自己的特殊部门，称为Irbis（“雪豹”），负责妨碍阿尔泰的竞争对手，将商品分发给渴望战争的独裁者，并杀掉所有阻碍的人。因此，阿尔泰成为了世界军事和民用生化改造武器市场上的佼佼者之一。"""
"    The abbot of The Temple of the Vanishing Star. Some monks say that Master Lei is as ancient as the monastery itself. And even though he is not, he’s been its abbot for more than thirty years and seen many of his pupils come and go. Usually a very strict man when it comes to faith and keeping the monastery together, he decided to let Vasily join their community even though he never showed any real desire to follow their faith but rather just looked for an escape. Master Lei never really stated why he did this nor that he was obliged to do so. Some of the monks who knew the Master from way back say that he saw something in Vasily, while others believe that he just wanted to guide a sinful, troubled man to faith.",    逝星庙的住持。有些僧人说雷师傅和寺庙本身一样古老。虽然这不是真的，但他作为这间庙的住持也已经超过30年了，目睹过许多弟子来来去去。当涉及到信仰和寺庙团结方面时，他通常都会变得很严厉。尽管瓦西里来这只是为了逃生而非为了追随他们的信仰，但他还是决定让瓦西里加入他们的集体。雷师傅从没真正解释过他这么做的理由，也没人强迫过他这么做。一些从很久以前就认识雷师傅的僧人说他从瓦西里身上看到了某种东西，其它僧人则认为他只是想用信仰来引导一个带着罪业与不安的人。,LocalizationKeyCodexChapterInfosMaster1,CodexMenu,逝星庙的住持。有些僧人说雷师傅和修道院本身一样古老，即使事实并非如此，他已经主持庙宇三十多年，看到很多他的沙弥来来去去。当涉及到信仰和维持寺庙日常活动时，他通常是一个非常严厉的人，当他决定让瓦西里加入他们的团体，尽管瓦西里从未表现出任何真正的追求信仰的愿望，只是为了生路。雷师傅从来没有真正解释过他这样做的缘由，也没有说这是他的义务。一些很久以后才认识这位师傅的僧侣说，他在瓦西里的眼里看到了一些不寻常事物，另一些人则认为他只是想引导一个有罪的，有困难的人学会信仰。
"The inhabitants of the monastery live with the belief that one should achieve harmony not only through prayer and the study of religious texts but also through hard everyday labour. And since you can’t really chop wood all day long, several centuries ago they started practicing self defence to protect themselves from the bandits that infested this region. Today their combat techniques are the basis of one of the oldest martial arts in the world, but also remain one of the less well known.",    修道院里有信仰的居者们相信，人们达到极乐世界，不仅需要祷告和对经文的研究，还需要通过辛苦的日常劳动才行。话虽如此，但人们也不可能真的一整天都在劈柴，所以他们在几个世纪前就开始练习自卫技巧以保护自己免受该地区土匪的袭击。如今他们的战斗技巧已成为世界上最古老的基础武术之一，但同时也是最不为人知的一个。,LocalizationKeyCodexChapterInfosMonks1,CodexMenu,修道院的居住者们相信，人们不仅仅需要祷告和对教义的研究达到极乐世界，还应该通过辛苦的日常劳动。由于人们也不可能真的劈一整天的柴，几个世纪前他们开始练习自卫技巧以保护自己免受侵袭这个地区土匪的袭击。今天他们的战斗技巧的根基来自于世界上最古老的武术之一，但同时也是最不知名的那个。
"Fyodor was born in Minsk, Belarus in 2008. As a kid he suffered from a severe case of valvular heart disease and at the age of twelve it was successfully cured thanks to the latest breakthroughs in medicine. Probably as a result of that, Fyodor developed an obsession with the ideas of transhumanism. When he finished school he moved to Moscow to live with his grandparents and to study bioengineering. He graduated with honours and was eventually hired as a junior scientist by AltaTek in 2033.",    费奥多于2008年出生于白俄罗斯的明斯克。他小时候患有严重的心脏瓣膜病，十二岁时因医学的最新突破而成功痊愈。费奥多可能就是因此而开始痴迷于超人主义思想。完成学业后，他搬到莫斯科与祖父母一起生活，学习生物工程。他以优异的成绩毕业，最终于2033年被阿尔泰科技聘为初级研究员。,LocalizationKeyCodexChapterInfosSaharov1,CodexMenu,费奥多于2008年出生于白俄罗斯的明斯克。小时候患有严重的心脏瓣膜病，十二岁时因医学最新突破而成功痊愈。费奥多可能因此开始痴迷于超人主义思想。完成学业后，他搬到莫斯科与祖父母一起生活，学习生物工程。他以优异成绩毕业，最终于2033年被阿尔泰科技聘为初级研究员。
"At AltaTek, Fyodor threw himself in his work. He was finally doing what he always wanted to do - giving more people a chance to live normal lives, and improving human abilities beyond their natural capacities. AltaTek recognised Fyodor’s potential and seven years later he was assigned to the Defence Implants branch. While he was reluctant to work on military implants at first, the new assignment was a big promotion and it meant working at the cutting edge of progress with a virtually unlimited budget. It would be the perfect opportunity to explore some of the ideas he had developed over the years about the future of cyberware and how it could help people. He accepted the promotion, reasoning that if he wouldn’t like it he will just quit and start his own business.",    在阿尔泰，费奥多专心于自己的事业。他最终完成了自己梦寐以求的事情——让更多人有机会过上正常的生活，并提高人们的能力甚至于能突破自然的上限。阿尔泰认识到费奥多的潜力，七年后他被分配到防卫殖装部门。起初他并不愿意从事军事殖装工作，但这项新任务是次巨大的职级提升，也就是说他可以在几乎无限预算的情况下从事最尖端的工作。这将是一次实践他多年来关于机械改造未来以及如何让这项科技帮助人类的想法的绝佳机会。他接受了晋升，并想着他要是不喜欢就退出另起炉灶。,LocalizationKeyCodexChapterInfosSaharov2,CodexMenu,在阿尔泰，费奥多投身于他的事业。他终于做到了他梦寐以求的事情 - 让更多的人有机会过上正常的生活，与此同时提升人类的能力直至超越大自然的桎梏。阿尔泰承认了费奥多的潜力，七年后他被分配到防卫殖装部门。虽然他一开始不愿意从事军事类的植入体工作，但这项新任务代表着一步重大的跨越，这也意味着要在几乎不计成本的科研最前沿情况下取得进展。这将是一个思考他多年来开发的生化产品的未来及其如何帮助人们的绝佳机会。他接受了晋升，并决定如果事与愿违就退出另起炉灶。
"After four years of creating “defence implants” (most of which turned out to be weapons), Fyodor was ready to quit. However, this wasn’t as easy as he assumed it would be: when he voiced his intention it was hinted that leaving AltaTek would not be in his best interest and veiled threats were made about his ability to find work in his field ever again. Serious, permanent problems with his health were also implied. Fyodor decided to remain with AltaTek and over the course of the following years he gradually became more and more disengaged, focusing only on technological advancements and turning a blind eye to everything else AltaTek was doing. Eventually he became one of the main engineers on the Stratos project and relocated to Acropolis as soon as the construction was finished.",    在制造了四年的“防卫殖装”后（其中大部分都变成了武器），费奥多准备要退出。然而，事情并非他想的那么简单：当他说出自己的意向时，有人便暗示说离开阿尔泰不是他最好的决定，并且含蓄地威胁他再也无法在这个行业找到工作。甚至还暗指他的健康可能会因此出现永久性的问题。费奥多最后不得不留在阿尔泰，在接下来的几年里他渐渐变得越来越封闭，只专心于技术的进步，对阿尔泰做的其它所有事都熟视无睹。最终他成为了斯特拉托斯项目主工程师之一，并在卫城研究所建成后被立刻派往到那边。,LocalizationKeyCodexChapterInfosSaharov3,CodexMenu,在从事“防卫殖装”四年后（其中大部分被改装成武器），费奥多产生了退意。然而，这并不像他认为的那样简单：当他表达其意向时，有人便暗示说离开阿尔泰不是个正确的决定并且暗中威胁要限制他在这个行业的发展。甚至暗示了他的‘健康’可能会因此存在严重的、永久性的问题。 费奥多最后不得不留在阿尔泰，在接下来的几年里他逐渐变得越来越分裂，只关注技术进步，并对阿尔泰所做的一切熟视无睹。最终他成为了斯特拉托斯项目其中的一名主工程师，并在施工结束后立刻被派遣到了到雅典卫城研究所。
"    Berkut met Vasily on the streets of Novosibirsk when both of them were barely fourteen. Vasily was getting beaten up by a couple of boys and Sergey decided to intervene. And even though he only got beaten as well, the two became friends. After school they joined the army and three years after that they left for a mercenary organisation. And then another one. And another one. Throughout these years they fought in conflicts all over the world, fighting proxy wars for different governments - whichever paid more. They became the elite. Fighting for whichever side paid more - sometimes switching sides several times over the course of a single conflict.",    贝尔库特是在新西伯利亚街头遇到瓦西里的，那时他们俩都还不到14岁。谢尔盖在瓦西里被几个男孩围殴时出手制止。虽然他也因此受到了毒打，但两人成为了朋友。毕业后，他们加入了军队，在那三年后又退伍加入了雇佣军组织。之后便是一个又一个不断加入的过程。这些年来，他们介入世界各地的纷争，为不同政府打代理人战争——看哪边给的钱多。他们成为了精英佣兵。谁给的佣金多就为谁战——有时会在单次战事中多次改变阵营。,LocalizationKeyCodexChapterInfosSergey1,CodexMenu,伯库特在新西伯利亚街头遇到了瓦西里，那时他们俩都不到14岁。当瓦西里被几个男孩殴打时谢尔盖站了出来。他也因此遭受了一顿毒打，不过两人成为了朋友。完成学业后，他们加入了军队，三年后他们退伍加入雇佣军组织。然后便是接连不断的“跳槽”。这些年来，他们介入了世界各地的纷争，为不同政府打所谓的代理人战争——要看哪边给的钱多。他们成为了精英佣兵。为提供更多佣金的一方而战——有时也会在单一战事中多次改旗易帜。
"Eventually they were approached by General Taras Volkov. They had served under him before and now he was recruiting for a special unit in the AltaTek corporation - Irbis. The money was good so they agreed: their job didn’t change much but now they were paid a lot more. Two best friends, they were having the time of their lives killing people for money. But one day their friendship came to a very tragic end.",    最后他们接触到了塔拉斯·沃尔科夫将军。他们之前曾当过他的手下，现在他正为阿尔泰公司的特殊部门“雪豹”招募人手。钱给的不少，所以他们接受了：他们的工作内容没多大变化，但报酬却多了不少。两个最好的朋友，他们过着杀人赚钱的生活。但有一天，他们的友谊走向了非常悲惨的结局。,LocalizationKeyCodexChapterInfosSergey2,CodexMenu,最终他们被塔拉斯沃尔科夫将军接触。他们之前曾在他手下服役，现在他正在招募阿尔泰公司的一个特殊部门 -  雪豹。有钱能使鬼推磨，所以他们欣然接受：他们的工作没有太大的改变，但现在他们获得了更多的报酬。两个最好的朋友，他们有时间为了钱而杀人。但有一天，他们的友谊走向了一个非常悲惨的结局。
"Despite its size, this ancient monastery remained hidden to the rest of the world thanks to its secluded location, deep in mountains covered with thick forests. Built on the ruins of an even older monastery that was destroyed by an earthquake, the Temple remains one of the few places on Earth untouched by modern technology.",    尽管规模很大，但作为被密林所覆盖的深山隐寺，这座古老的寺庙经历着与世隔绝的时光。这座寺庙建于之前被地震所毁的更古老的寺庙之上，它仍是少数几个未被地球现代科技所触及的地方之一。,LocalizationKeyCodexChapterInfosTemple1,CodexMenu,尽管规模很大，但得益于它隐蔽的地理位置和深处覆盖着的浓密的森林，这座古老的修道院与世隔绝，屹立在被地震摧毁的更为古老的修道院的废墟上，仍然是地球上现代科技未触及过的少数几个地方之一。
    His past is mostly unknown while his present is the same as all the other monks in the monastery. Some twenty years ago Vasily crashed his heliplane in the mountains near the Temple of the Vanishing Star. He became a permanent resident thanks to Master Lei - the abbot of the monastery - who decided to let Vasily join the monastery. Master Lei invited him to become his pupil even though Vasily knew next to nothing about their religion and looked less like someone searching for spirituality and more like someone who was looking for shelter from his damaging past.,    虽然他有着无人知晓的过去，但他的现在已与寺里其他僧人别无两样。大约二十年前，瓦西里搭乘的直升机坠毁在逝星庙附近的山上。幸得寺庙住持雷师傅的收留，他才能成为寺庙的永久居民。尽管瓦西里对他们的宗教一无所知，而且他看起来不像是要寻求顿悟，更像是要逃避悲痛过往的人，雷师傅还是将其收为徒弟。,LocalizationKeyCodexChapterInfosVasily1,CodexMenu,"""他的样子和修道院里的所有其他僧侣差不多却有着神秘的过去。大约二十年前，瓦西里搭乘的直升飞机在逝星庙附近的山上坠毁。寺院的住持雷师父决定收留瓦西里入寺，就这样他成为了寺院的‘永久居民’。雷师傅想收其为徒，尽管瓦西里几乎完全不了解他们的宗教信仰，并且看起来不像是寻求顿悟的人，而更像是在想方设法隐藏过去。"""
"    At first Vasily was mostly interested in the physical aspects of monastic life such as the martial arts techniques. But years passed, and with the help of Master Lei, he became more spiritual and was able to find his inner peace. His nightmares eventually stopped and he achieved harmony. Or at least that’s what he thought.",    起初，最让瓦西里感兴趣的是僧人生活的物质面，比如武术技巧。但在雷老师的多年帮助下，他的精神变得更加强大，能够追寻自己内心的平静。他的噩梦终于停止并且获得了协调。或者说至少他是这么认为的。,LocalizationKeyCodexChapterInfosVasily2,CodexMenu,"""起初，瓦西里最感兴趣的是寺庙生活的物质层面，比如武术技巧。但多年过去了，在雷老师的帮助下，他的精神变得更为强大，能够追寻内心的平静。他最终停止了噩梦，实现了和谐。或者至少他是这么认为的。"""
"Rumour has it that Taras Volkov was never actually a general. That back in the army he was a colonel and had been refused promotion several times. Eventually he became disappointed with the army administration for being too slow to adopt the latest technologies, and in 2022 he quit and moved to Serbia to head a local mercenary group. The group flourished under his command and thanks to his modernisations became very well known around the world - validating his feelings of superiority. Eventually Volkov was invited to AltaTek as their Chief of Security. He agreed on the condition that he would have full control over the department - particularly with regards to any changes made to  current and future security personnel.",    有传言说，塔拉斯·沃尔科夫从未当过真正的将军。他曾是军队的上校，而且晋升请求被拒绝了好几次。最后，因对军队管理层迟迟未能采用最新技术感到失望，而于2022年退伍，并去了塞尔维亚领导当地的雇佣军团队。这支队伍在他的指挥下蓬勃发展，并凭借其现代化程度为世界所知——这证实了他理念的先进性。最终沃尔科夫被邀请加入阿尔泰担任安保主任。他同意了，前提是保证他能完全掌控该部门——尤其是对现有和未来安保人员进行任意改造一事。,LocalizationKeyCodexChapterInfosVolkov1,CodexMenu,"""有传言说，塔拉斯·沃尔科夫实际上从来都不是将军。在军队中，他曾是一名上校，并多次被拒绝晋升。最终他对军队管理部门迟迟不能采用最新技术感到失望，并于2022年退出并搬到塞尔维亚领导当地的雇佣军团队。这个集团在他的指挥下蓬勃发展，并凭借其现代化程度在世界各地非常知名——证实了他理念的优越性。最终沃尔科夫被邀请到阿尔泰担任安全总监。他同意的条件是对该部门的完全控制——尤其是对现有和未来的安全人员所做的任何改造。"""
"In the early 2030s, General Volkov decided to start implementing AltaTek’s experimental technologies on his troops. There were a couple of accidents but he had an almost unlimited supply of the most notorious mercenaries in the world waiting in line. Some fifteen years later, soon after Volkov was appointed as the director of Acropolis, he also started chemical augmentations of himself. To fight the ageing process he ordered the scientists to develop chemical compounds to help his withering body. After a couple of successful tries, his system began to reject the compounds and start to mutate uncontrollably - even long after the experiments stopped. Volkov’s passion for innovation came back to bite him. Now he never leaves his quarters at the core of Section Alpha, only ever seen by high ranking executives.",    2030年代初，沃尔科夫将军决定将阿尔泰科技的实验技术应用到自己的军队上。虽然出了几起事故，但他那世界上最为臭名昭著的雇佣军有着几乎无限的佣兵人选。大约十五年后，就在沃尔科夫被任命为卫城主任后不久，他也开始用化学增强自己。为了抗击衰老过程，他命令科学家开发化合物来帮助他枯萎的身体。在经过几次成功的尝试后，他的身体开始排斥这些化合物，并不受控制地发生变异——甚至在实验停止后都还持续了很长一段时间。沃尔科夫对新事物的热情最终反噬了他。现在，他再也无法离开自己在阿尔法区域核心位置的住所，能见的人也只有高级管理人员。,LocalizationKeyCodexChapterInfosVolkov2,CodexMenu,在2030年代初，沃尔科夫将军决定开始在他的部队应用阿尔泰的实验技术。虽然发生了几起事故，但他有着几乎无限制的世界上最臭名昭着的雇佣军排队等候供应。大约十五年后，沃尔科夫被任命为卫城总监后不久，他也开始对自己进行化学增效。为了抗击衰老过程，他命令科学家开发化学化合物来帮助他的减缓身体的枯萎。经过几次成功尝试之后，他的系统开始排斥这些化合物，并开始无法控制地发生变异，甚至在实验停止后很长一段时间还在继续。沃尔科夫对新事物的热情反噬了他。现在，他从不离开自己在阿尔法区域核心的住所，只有高层执行人员才有机会接触。
ACROPOLIS,卫城研究所,LocalizationKeyCodexChapterNamesAcropolis,CodexMenu,雅典卫城研究所
ALTATEK,阿尔泰科技,LocalizationKeyCodexChapterNamesAltatek,CodexMenu,阿尔泰科技
MASTER LEI,雷师傅,LocalizationKeyCodexChapterNamesMaster,CodexMenu,雷师父
MONKS,僧人,LocalizationKeyCodexChapterNamesMonks,CodexMenu,僧侣
FYODOR SAKHAROV,费奥多·萨哈罗夫,LocalizationKeyCodexChapterNamesSakharov,CodexMenu,费奥多·萨哈罗夫
SERGEY “BERKUT” KALGANOV,谢尔盖“贝尔库特”科尔加诺夫,LocalizationKeyCodexChapterNamesSergey,CodexMenu,谢尔盖 “贝库特” 科尔加诺夫
THE TEMPLE OF THE VANISHING STAR,逝星庙,LocalizationKeyCodexChapterNamesTemple,CodexMenu,逝星庙
VASILIY,瓦西里,LocalizationKeyCodexChapterNamesVasily,CodexMenu,瓦西里
GENERAL TARAS VOLKOV,塔拉斯·沃尔科夫将军,LocalizationKeyCodexChapterNamesVolkov,CodexMenu,塔拉斯·沃尔科夫将军
AIM,瞄准,ControlsMenuGamepadControlAim,ControlsMenu,瞄准
PUNCH,攻击,ControlsMenuGamepadControlAttack,ControlsMenu,攻击
BLOCK / PARRY,格挡 / 招架,ControlsMenuGamepadControlBlock,ControlsMenu,格挡 / 闪避
DROP MELEE WEAPON,丢弃近战武器,ControlsMenuGamepadControlDrop,ControlsMenu,丢弃近战武器
EXECUTE / ENVIRONMENT,处决 / 环境互动,ControlsMenuGamepadControlExecution,ControlsMenu,处决/环境互动
KICK,踢,ControlsMenuGamepadControlHeavyAttack,ControlsMenu,踢
LOOK AROUND,观察,ControlsMenuGamepadControlLoock,ControlsMenu,观察
MOVE,移动,ControlsMenuGamepadControlMove,ControlsMenu,移动
PAUSE / MENU,暂停 / 菜单,ControlsMenuGamepadControlPause,ControlsMenu,暂停 / 菜单
PICK UP / USE,拾取 / 使用,ControlsMenuGamepadControlPickup,ControlsMenu,拾取 / 使用
ROLL,翻滚,ControlsMenuGamepadControlRoll,ControlsMenu,翻滚
SHOOT,射击,ControlsMenuGamepadControlShoot,ControlsMenu,射击
UPGRADE,升级,ControlsMenuGamepadControlUpgrades,ControlsMenu,升级
USE,使用,ControlsMenuGamepadControlUse,ControlsMenu,使用
CONTROLLER,控制器,ControlsMenuGamepadLabel,ControlsMenu,控制器
